# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.384879423572e-10       4.187880861607e-15       3.522608443901e-13       2.250596635839e-19       8.102493801568e-09       4.539503940370e-10      -1.836399924696e-12 
    3       1.311737601349e-10       5.382217823625e-15       3.972877392082e-13       4.502081380020e-19       5.040429816691e-09       3.222982806588e-10      -1.388743318329e-12 
    4       1.243259735367e-10       4.673697347902e-15       3.730340748675e-13       7.505431171737e-19       3.510333717002e-09       2.440224872646e-10      -9.081678427238e-13 
    5       1.193040364072e-10       3.143729132768e-15       3.198863098560e-13       1.126179856466e-18       2.618526471618e-09       1.926643952861e-10      -5.041165947607e-13 
    6       1.159437577567e-10       1.790436019943e-15       2.605964708098e-13       1.577259712469e-18       2.043513667857e-09       1.566438610234e-10      -2.065668604647e-13 
    7       1.138735280322e-10       1.003228109302e-15       2.083507041595e-13       2.103948363896e-18       1.648132581035e-09       1.302474876978e-10      -1.696519275636e-14 
    8       1.128298170978e-10       6.772735302835e-16       1.688421339830e-13       2.706433707881e-18       1.362315671409e-09       1.102920776166e-10       7.951057998664e-14 
    9       1.125055773328e-10       5.620203960375e-16       1.433340698152e-13       3.384923450971e-18       1.147220123614e-09       9.479794475315e-11       1.060194674874e-13 
   10       1.127132384513e-10       4.935870101183e-16       1.304319247107e-13       4.139642418860e-18       9.804708715563e-10       8.247953980962e-11       8.827831192018e-14 
   11       1.133519866644e-10       4.328803036063e-16       1.274032999279e-13       4.970829614169e-18       8.251459182877e-10       7.294124715831e-11       5.054825852103e-14 
   12       1.143359886142e-10       3.983207774770e-16       1.311657192218e-13       5.878735057098e-18       7.207936021561e-10       6.445794531059e-11       9.912114825950e-15 
   13       1.155269147541e-10       4.027812390264e-16       1.389921599622e-13       6.863616449498e-18       6.351238754269e-10       5.754174683828e-11      -2.112942068110e-14 
   14       1.169488515228e-10       4.388750235521e-16       1.488404638955e-13       7.925735708507e-18       5.638567221882e-10       5.164924537479e-11      -3.798410195645e-14 
   15       1.185397518318e-10       4.948614939380e-16       1.592742203051e-13       9.065355421222e-18       5.038727796195e-10       4.650058649198e-11      -4.130070022285e-14 
   16       1.202420162911e-10       5.685414001712e-16       1.696004898445e-13       1.028273527663e-17       4.528747761629e-10       4.213511127491e-11      -3.469419197987e-14 
   17       1.220702972271e-10       6.661430887934e-16       1.796803226716e-13       1.157812853484e-17       4.091306245444e-10       3.839982984238e-11      -2.339615896531e-14 
   18       1.239979352987e-10       7.940099358936e-16       1.896345822325e-13       1.295177862682e-17       3.711667124824e-10       3.511057328765e-11      -1.241182078174e-14 
   19       1.260251086071e-10       9.530161420213e-16       1.996574250780e-13       1.440391573579e-17       3.383814569868e-10       3.221253538917e-11      -4.518411779162e-15 
   20       1.281114864214e-10       1.141422986536e-15       2.099232420994e-13       1.593475401741e-17       3.095096177435e-10       2.962122012069e-11      -1.646233178715e-15 
   21       1.302654135532e-10       1.358791207239e-15       2.203575769131e-13       1.754448877408e-17       2.840970361494e-10       2.733671801725e-11      -3.297774144674e-15 
