# Matter power spectrum P(k) at redshift z=0
# for k=1.02701e-05 to 1.02274 h/Mpc,
# number of wavenumbers equal to 643
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.027007313721e-05       5.036917407563e+01 
       2.127822647656e-05       1.018080631539e+02 
       3.231728561898e-05       1.524448439922e+02 
       4.340893518617e-05       2.027200092805e+02 
       5.457513927341e-05       2.528857231927e+02 
       6.583828463544e-05       3.031277382493e+02 
       7.722132742370e-05       3.536014302112e+02 
       8.874794492625e-05       4.044467653435e+02 
       1.004426937739e-04       4.557958839482e+02 
       1.123311760917e-04       5.077775244819e+02 
       1.244402150903e-04       5.605199611286e+02 
       1.367980415961e-04       6.141531395370e+02 
       1.494344930131e-04       6.688103582794e+02 
       1.623812261718e-04       7.246297039259e+02 
       1.756719454422e-04       7.817554156471e+02 
       1.893426473539e-04       8.403390675183e+02 
       2.034318827434e-04       9.005407944573e+02 
       2.179810371140e-04       9.625304970565e+02 
       2.330346294046e-04       1.026489041295e+03 
       2.486406286732e-04       1.092609483981e+03 
       2.648507872526e-04       1.161098283929e+03 
       2.817209876534e-04       1.232176524190e+03 
       2.993115988048e-04       1.306081134586e+03 
       3.176878350369e-04       1.383066000537e+03 
       3.369201084353e-04       1.463403030465e+03 
       3.570843617599e-04       1.547383034307e+03 
       3.782623649454e-04       1.635316387552e+03 
       4.005419532965e-04       1.727533353082e+03 
       4.240171799201e-04       1.824383970164e+03 
       4.487883489210e-04       1.926237327656e+03 
       4.749618898233e-04       2.033480199473e+03 
       5.026500282386e-04       2.146514607163e+03 
       5.319702039506e-04       2.265754409547e+03 
       5.630441866534e-04       2.391620608769e+03 
       5.959968431887e-04       2.524535200761e+03 
       6.309545200646e-04       2.664913503922e+03 
       6.680430229746e-04       2.813155040164e+03 
       7.073852020423e-04       2.969632957501e+03 
       7.490981874855e-04       3.134682352423e+03 
       7.932903633826e-04       3.308587871029e+03 
       8.400582130024e-04       3.491571236020e+03 
       8.894832111792e-04       3.683779430854e+03 
       9.416289693533e-04       3.885274583381e+03 
       9.965388489518e-04       4.096025943299e+03 
       1.054234242669e-03       4.315905487919e+03 
       1.114713679114e-03       4.544686948929e+03 
       1.177952838127e-03       4.782048891130e+03 
       1.243905481285e-03       5.027582118642e+03 
       1.312505217872e-03       5.280799401502e+03 
       1.383667954553e-03       5.541149387418e+03 
       1.457294827936e-03       5.808030739646e+03 
       1.533275398585e-03       6.080807133778e+03 
       1.611490892304e-03       6.358822475443e+03 
       1.691817304101e-03       6.641414430400e+03 
       1.774128223681e-03       6.927926224849e+03 
       1.858297289878e-03       7.217717141349e+03 
       1.944200227583e-03       7.510170657698e+03 
       2.031716459617e-03       7.804700100171e+03 
       2.120730315121e-03       8.100753523104e+03 
       2.211131875174e-03       8.397816314813e+03 
       2.302817506696e-03       8.695412556429e+03 
       2.395690139012e-03       8.993104549203e+03 
       2.489659335849e-03       9.290491524264e+03 
       2.584641210847e-03       9.587212421342e+03 
       2.680558228338e-03       9.882936295182e+03 
       2.777338924268e-03       1.017736392223e+04 
       2.874917575502e-03       1.047023082757e+04 
       2.973233839634e-03       1.076129556450e+04 
       3.072232382177e-03       1.105034507611e+04 
       3.171862503624e-03       1.133718661569e+04 
